2017-02-02,2017-02-18,2017-03-06,2017-03-22,2017-04-07,2017-04-23,2017-05-09,2017-05-25,2017-06-10,2017-06-26,2017-07-12,2017-07-28,2017-08-13,2017-08-29,2017-09-14,2017-09-30,2017-10-16,2017-11-01,2017-11-17,2017-12-03,2017-12-19,2018-01-01,2018-01-17,desvio,lat,long
0.2784,0.2415,0.085,0.0945,0.096,0.0929,0.1504,0.3336,0.5127,0.6691,0.6986,0.6497,0.6629,0.3915,0.3538,0.2093,0.1808,0.1247,0.0962,0.1266,0.1949,0.4602,0.5643,0.21652497158563053,-45.57050912830244,-14.769817703820696
0.2473,0.8118,0.5869,0.1583,0.1787,0.1985,0.1478,0.2148,0.4139,0.7348,0.7681,0.744,0.7587,0.7092,0.7169,0.5497,0.312,0.1359,0.1338,0.131,0.2172,0.2906,0.3651,0.2566990463466059,-45.540655921646824,-14.814913894906175
0.1357,0.2071,0.1626,0.2997,0.6139,0.7774,0.7955,0.7377,0.7655,0.6917,0.5203,0.3038,0.2405,0.241,0.2587,0.2099,0.1673,0.1986,0.5256,0.9215,0.8861,0.7762,0.5718,0.27211322727588605,-45.52939359506462,-14.360890416729125
0.1636,0.8078,0.9266,0.8611,0.7186,0.5092,0.1314,0.288,0.5006,0.7444,0.7733,0.7368,0.7267,0.4789,0.4386,0.2885,0.1917,0.1333,0.1147,0.2895,0.1968,0.2568,0.2051,0.2742821485907771,-45.54297695706612,-14.851253278595994
0.2275,0.1484,0.1645,0.2079,0.4426,0.1836,0.1533,0.4452,0.6853,0.763,0.6899,0.4961,0.5054,0.477,0.4546,0.3081,0.1798,0.1242,0.2103,0.5082,0.8225,0.9442,0.8926,0.2603478397605484,-45.5036282450555,-14.285540922888293
0.1827,0.1265,0.1604,0.1805,0.3302,0.501,0.6606,0.7293,0.7169,0.689,0.5884,0.4859,0.3785,0.2544,0.2559,0.2177,0.1883,0.2225,0.2376,0.4169,0.7958,0.9274,0.8393,0.2538952699495735,-45.51982599818177,-14.374473686262414
0.3661,0.1491,0.1761,0.1816,0.4893,0.6332,0.8097,0.8841,0.835,0.7171,0.6667,0.4674,0.3036,0.2262,0.261,0.1493,0.1602,0.3177,0.7294,0.6026,0.6118,0.4076,0.3067,0.2442954420449808,-45.53363808205696,-14.33212927473063
0.8852,0.8219,0.276,0.1627,0.1823,0.5208,0.7126,0.6496,0.5774,0.4979,0.363,0.2358,0.1189,0.1172,0.1365,0.1702,0.2338,0.3981,0.3186,0.2509,0.2166,0.4872,0.6676,0.23600237621902806,-45.98327817616153,-13.801807906349516
0.1052,0.2378,0.135,0.1149,0.1185,0.1062,0.4691,0.6888,0.7961,0.7752,0.75,0.6837,0.5275,0.2479,0.2279,0.1909,0.1545,0.0988,0.1219,0.156,0.1239,0.1142,0.1149,0.2575757627520731,-45.53997222566553,-14.76392401991138
0.261,0.3729,0.5116,0.603,0.7315,0.8308,0.7987,0.7659,0.7535,0.6306,0.3613,0.3208,0.1296,0.1654,0.5939,0.6287,0.1871,0.2471,0.7343,0.7504,0.8453,0.8235,0.6492,0.24098015474357457,-45.49087862477988,-14.30618212796905
0.4808,0.1547,0.2109,0.2578,0.4539,0.8095,0.9047,0.8914,0.8641,0.8107,0.6942,0.5657,0.3973,0.2876,0.1786,0.1299,0.1968,0.3376,0.7948,0.9719,0.8099,0.8472,0.5028,0.2892075304209313,-45.47550213170662,-14.269324033087239
0.6886,0.6371,0.6253,0.3745,0.1395,0.1436,0.1338,0.1532,0.3366,0.6521,0.9095,0.8622,0.6506,0.212,0.1748,0.1674,0.1612,0.1259,0.152,0.3809,0.4387,0.9041,0.9051,0.29246011950687617,-45.45240504553026,-14.192877273799349
0.2712,0.1308,0.1808,0.1524,0.2019,0.4183,0.7132,0.8242,0.8092,0.7665,0.6444,0.5035,0.3416,0.2484,0.2646,0.1318,0.1127,0.2487,0.4069,0.7033,0.7102,0.5958,0.4758,0.24531575281068907,-45.52634815433433,-14.307733718012074
0.3389,0.1864,0.1687,0.1842,0.4131,0.5393,0.7619,0.772,0.7616,0.6787,0.5574,0.4401,0.2815,0.2334,0.1321,0.2128,0.2803,0.6571,0.6977,0.4976,0.4314,0.3053,0.2293,0.21593145093287427,-45.54270416202926,-14.342415900940676
0.5895,0.2114,0.1674,0.2151,0.7135,0.7332,0.7184,0.7048,0.6797,0.6257,0.3021,0.2054,0.1919,0.1627,0.1992,0.2887,0.3628,0.7356,0.8039,0.5043,0.2355,0.1533,0.1644,0.24441197603967885,-45.58956898089162,-14.390584594477232
0.1636,0.2112,0.2138,0.1459,0.4817,0.6922,0.7424,0.6286,0.6211,0.5951,0.4674,0.2776,0.2039,0.1435,0.1664,0.2879,0.3795,0.9475,0.6983,0.3181,0.1651,0.1923,0.1963,0.23959254699818006,-45.576724335668246,-14.373256959985511
0.2016,0.1441,0.1664,0.1659,0.1511,0.188,0.1565,0.305,0.4694,0.6809,0.6238,0.5569,0.3984,0.2909,0.2497,0.2066,0.1702,0.1801,0.6621,0.5969,0.9542,0.9397,0.8687,0.27351059181317294,-45.56789321563583,-14.402029682339716
0.1697,0.13,0.1653,0.2095,0.4259,0.5527,0.6976,0.7712,0.8141,0.7314,0.6211,0.513,0.2762,0.2316,0.268,0.2442,0.2053,0.2206,0.2293,0.6081,0.7064,0.8506,0.8388,0.25732002352310024,-45.53447518494228,-14.391800481991448
0.5229,0.1736,0.1622,0.1619,0.1295,0.4018,0.7276,0.7219,0.724,0.5286,0.4706,0.3683,0.2322,0.1562,0.1418,0.1208,0.124,0.2396,0.3637,0.6682,0.9218,0.904,0.7542,0.27291420671934435,-45.50656533222414,-14.354972985651074
0.2338,0.324,0.3539,0.1585,0.1639,0.1541,0.4536,0.8169,0.9386,0.8933,0.6458,0.1859,0.1697,0.262,0.4822,0.8161,0.6996,0.7535,0.5708,0.4957,0.4606,0.292,0.1701,0.2634369638320399,-45.71304945724371,-14.413028050931894
